EmpID,Age,AgeGroup,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,SalarySlab,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Question1,Question2,Question3,Question4,Question5,Question6,Question7,Question8,Question9,Question10,Question11,Question12
RM1179,20,18-25,No,Travel_Rarely,1141,Sales,2,3,Medical,1,1657,3,Female,31,3,1,Sales Representative,3,Single,2783,Upto 5k,13251,1,Y,No,19,3,1,80,0,2,3,3,2,2,2,2,"I feel somewhat unsatisfied, as the work-life balance could be better",Yes,7,8,,Uncomfortable seating arrangements,"Seldom supported, very rigid",Pessimistic about goal achievement,Somewhat disconnected from the team,"Terrible at collaborating, needs overhaul","No commitment to quality, very frustrating",
RM1198,20,18-25,No,Travel_Rarely,727,Sales,9,1,Life Sciences,1,1680,4,Male,54,3,1,Sales Representative,1,Single,2728,Upto 5k,21082,1,Y,No,11,3,1,80,0,2,3,3,2,2,0,2,,Yes,8,4,"We struggle with collaboration, due to lack of proper tools",Very comfortable workspace,"Moderate support, but could improve",Pessimistic about goal achievement,Feel integral to the team,"Poor collaboration, often misaligned",Everyone is committed to quality,
RM024,21,18-25,No,Travel_Rarely,391,Research & Development,15,2,Life Sciences,1,30,3,Male,96,3,1,Research Scientist,4,Single,1232,Upto 5k,19281,1,Y,No,14,3,4,80,0,0,6,3,0,0,0,,"I am generally satisfied, because of the supportive team",Yes,4,3,,Generally comfortable but improvements needed,Highly supported for remote work,Pessimistic about goal achievement,Part of a team but not integral,We collaborate efficiently,"No commitment to quality, very frustrating",
RM275,21,18-25,No,Travel_Rarely,996,Research & Development,3,2,Medical,1,379,4,Male,100,2,1,Research Scientist,3,Single,3230,Upto 5k,10531,1,Y,No,17,3,1,80,0,3,4,4,3,2,1,0,,Yes,9,8,,Generally comfortable but improvements needed,Highly supported for remote work,Confident in reaching objectives,Somewhat disconnected from the team,We collaborate efficiently,"No commitment to quality, very frustrating",
RM363,21,18-25,No,Non-Travel,895,Sales,9,2,Medical,1,484,1,Male,39,3,1,Sales Representative,4,Single,2610,Upto 5k,2851,1,Y,No,24,4,3,80,0,3,3,2,3,2,2,,"I am very pleased, because of the supportive team",No,6,8,"Collaboration here is effective, but it can be chaotic at times","Average comfort, ergonomic issues","Moderate support, but could improve",Mixed feelings about goal attainability,Somewhat disconnected from the team,"Poor collaboration, often misaligned",Lack of commitment is concerning,
RM497,21,18-25,No,Travel_Rarely,1343,Sales,22,1,Technical Degree,1,669,3,Male,49,3,1,Sales Representative,3,Single,3447,Upto 5k,24444,1,Y,No,11,3,3,80,0,3,2,3,3,2,1,2,"I feel somewhat unsatisfied, as the work-life balance could be better",No,7,3,"Collaboration here is effective, but it can be chaotic at times",Generally comfortable but improvements needed,"Not supported, no flexibility",Doubtful we'll meet all objectives,Somewhat disconnected from the team,"Poor collaboration, often misaligned","No commitment to quality, very frustrating",
RM816,21,18-25,No,Travel_Rarely,984,Research & Development,1,1,Technical Degree,1,1131,4,Female,70,2,1,Research Scientist,2,Single,2070,Upto 5k,25326,1,Y,Yes,11,3,3,80,0,2,6,4,2,2,2,2,"I am generally satisfied, because of the supportive team",Yes,1,5,,"Average comfort, ergonomic issues","Moderate support, but could improve",Confident in reaching objectives,Feel integral to the team,Good collaboration but can improve,Everyone is committed to quality,
RM1153,21,18-25,No,Travel_Rarely,546,Research & Development,5,1,Medical,1,1623,3,Male,97,3,1,Research Scientist,4,Single,3117,Upto 5k,26009,1,Y,No,18,3,3,80,0,3,2,3,2,2,2,2,"I feel somewhat unsatisfied, due to the challenging projects",Yes,9,1,"We struggle with collaboration, due to lack of proper tools",Very comfortable workspace,"Seldom supported, very rigid",Uncertain about some goals,Often feel left out of the team,"Average collaboration, depends on the project",Everyone is committed to quality,
RM1437,21,18-25,No,Travel_Rarely,501,Sales,5,1,Medical,1,2021,3,Male,58,3,1,Sales Representative,1,Single,2380,Upto 5k,25479,1,Y,Yes,11,3,4,80,0,2,6,3,2,2,1,2,,No,5,8,,Generally comfortable but improvements needed,"Seldom supported, very rigid",Pessimistic about goal achievement,Feel integral to the team,"Terrible at collaborating, needs overhaul",Commitment is frequently questionable,
RM018,22,18-25,No,Non-Travel,1123,Research & Development,16,2,Medical,1,22,4,Male,96,4,1,Laboratory Technician,4,Divorced,2935,Upto 5k,7324,1,Y,Yes,13,3,2,80,2,1,2,2,1,0,0,0,"I am very pleased, as the work-life balance could be better",Yes,3,10,,Generally comfortable but improvements needed,"Moderate support, but could improve",Confident in reaching objectives,Often feel left out of the team,We collaborate efficiently,"No commitment to quality, very frustrating",
RM110,22,18-25,No,Travel_Rarely,534,Research & Development,15,3,Medical,1,144,2,Female,59,3,1,Laboratory Technician,4,Single,2871,Upto 5k,23785,1,Y,No,15,3,3,80,0,1,5,3,0,0,0,0,,Yes,7,3,"There is room for improvement in collaboration, which makes work enjoyable","Average comfort, ergonomic issues","Not supported, no flexibility",Mixed feelings about goal attainability,Often feel left out of the team,"Average collaboration, depends on the project",Lack of commitment is concerning,
RM129,22,18-25,No,Travel_Rarely,594,Research & Development,2,1,Technical Degree,1,169,3,Male,100,3,1,Laboratory Technician,4,Married,2523,Upto 5k,19299,0,Y,No,14,3,3,80,1,3,2,3,2,1,2,1,,No,2,8,,Very comfortable workspace,"Moderate support, but could improve",Confident in reaching objectives,Somewhat disconnected from the team,"Terrible at collaborating, needs overhaul",Lack of commitment is concerning,
RM161,22,18-25,No,Travel_Rarely,1256,Research & Development,19,1,Medical,1,217,3,Male,80,3,1,Research Scientist,4,Married,2323,Upto 5k,11992,1,Y,No,24,4,1,80,2,2,6,3,2,2,2,2,,No,8,1,,Generally comfortable but improvements needed,"Not supported, no flexibility",Confident in reaching objectives,Part of a team but not integral,"Average collaboration, depends on the project","No commitment to quality, very frustrating",
RM207,22,18-25,No,Travel_Rarely,1136,Research & Development,5,3,Life Sciences,1,284,4,Male,60,4,1,Research Scientist,2,Divorced,2328,Upto 5k,12392,1,Y,Yes,16,3,1,80,1,4,2,2,4,2,2,,,Yes,9,8,,"Highly uncomfortable, needs total revamp",Highly supported for remote work,Uncertain about some goals,Part of a team but not integral,"Average collaboration, depends on the project",Everyone is committed to quality,
RM384,22,18-25,No,Travel_Rarely,253,Research & Development,11,3,Medical,1,511,1,Female,43,3,1,Research Scientist,2,Married,2244,Upto 5k,24440,1,Y,No,13,3,4,80,1,2,1,3,2,1,1,2,,No,6,7,,Uncomfortable seating arrangements,"Not supported, no flexibility",Mixed feelings about goal attainability,"Not part of the team, very isolated","Terrible at collaborating, needs overhaul",Lack of commitment is concerning,
RM499,22,18-25,No,Travel_Rarely,604,Research & Development,6,1,Medical,1,675,1,Male,69,3,1,Research Scientist,3,Married,2773,Upto 5k,12145,0,Y,No,20,4,4,80,0,3,3,3,2,2,2,2,"I am generally satisfied, because of the supportive team",Yes,6,7,,Generally comfortable but improvements needed,Highly supported for remote work,Mixed feelings about goal attainability,Often feel left out of the team,"Average collaboration, depends on the project",Most are committed but some aren't,
RM631,22,18-25,No,Travel_Rarely,1230,Research & Development,1,2,Life Sciences,1,872,4,Male,33,2,2,Manufacturing Director,4,Married,4775,Upto 5k,19146,6,Y,No,22,4,1,80,2,4,2,1,2,2,2,2,"I feel somewhat unsatisfied, because of the supportive team",Yes,3,10,,"Average comfort, ergonomic issues","Moderate support, but could improve",Pessimistic about goal achievement,Part of a team but not integral,"Poor collaboration, often misaligned",Most are committed but some aren't,
RM735,22,18-25,No,Travel_Rarely,217,Research & Development,8,1,Life Sciences,1,1019,2,Male,94,1,1,Laboratory Technician,1,Married,2451,Upto 5k,6881,1,Y,No,15,3,1,80,1,4,3,2,4,3,1,1,"I am generally satisfied, as the work-life balance could be better",No,3,10,,Uncomfortable seating arrangements,Support varies by department,Doubtful we'll meet all objectives,Feel integral to the team,"Terrible at collaborating, needs overhaul",Lack of commitment is concerning,
RM1138,22,18-25,No,Non-Travel,457,Research & Development,26,2,Other,1,1605,2,Female,85,2,1,Research Scientist,3,Married,2814,Upto 5k,10293,1,Y,Yes,14,3,2,80,0,4,2,2,4,2,1,3,,No,5,3,"We struggle with collaboration, which makes work enjoyable",Uncomfortable seating arrangements,Highly supported for remote work,Doubtful we'll meet all objectives,Part of a team but not integral,Good collaboration but can improve,"No commitment to quality, very frustrating",
RM1424,22,18-25,No,Travel_Rarely,581,Research & Development,1,2,Life Sciences,1,2007,4,Male,63,3,1,Research Scientist,3,Single,3375,Upto 5k,17624,0,Y,No,12,3,4,80,0,4,2,4,3,2,1,2,"I am very pleased, due to the challenging projects",Yes,5,9,"Collaboration here is effective, but it can be chaotic at times",Very comfortable workspace,"Seldom supported, very rigid",Pessimistic about goal achievement,Somewhat disconnected from the team,"Terrible at collaborating, needs overhaul",Lack of commitment is concerning,
RM087,23,18-25,No,Travel_Rarely,541,Sales,2,1,Technical Degree,1,113,3,Male,62,3,1,Sales Representative,1,Divorced,2322,Upto 5k,9518,3,Y,No,13,3,3,80,1,3,3,3,0,0,0,0,"I feel somewhat unsatisfied, because of the supportive team",Yes,6,7,,"Average comfort, ergonomic issues","Moderate support, but could improve",Doubtful we'll meet all objectives,Somewhat disconnected from the team,"Terrible at collaborating, needs overhaul","No commitment to quality, very frustrating",
RM346,23,18-25,No,Travel_Rarely,1309,Research & Development,26,1,Life Sciences,1,465,3,Male,83,3,1,Research Scientist,4,Divorced,2904,Upto 5k,16092,1,Y,No,12,3,3,80,2,4,2,2,4,2,0,2,"I am generally satisfied, because of the supportive team",No,4,3,,"Highly uncomfortable, needs total revamp",Support varies by department,Mixed feelings about goal attainability,"Not part of the team, very isolated",We collaborate efficiently,"No commitment to quality, very frustrating",
RM517,23,18-25,No,Travel_Rarely,885,Research & Development,4,3,Medical,1,705,1,Male,58,4,1,Research Scientist,1,Married,2819,Upto 5k,8544,2,Y,No,16,3,1,80,1,5,3,4,3,2,0,2,,No,3,1,"We struggle with collaboration, but it can be chaotic at times",Very comfortable workspace,Highly supported for remote work,Confident in reaching objectives,"Not part of the team, very isolated","Terrible at collaborating, needs overhaul",Most are committed but some aren't,
RM551,23,18-25,No,Travel_Rarely,650,Research & Development,9,1,Medical,1,758,2,Male,37,3,1,Laboratory Technician,1,Married,2500,Upto 5k,4344,1,Y,No,14,3,4,80,1,5,2,4,4,3,0,2,,Yes,1,5,"There is room for improvement in collaboration, but it can be chaotic at times","Highly uncomfortable, needs total revamp",Highly supported for remote work,Mixed feelings about goal attainability,"Not part of the team, very isolated","Poor collaboration, often misaligned",Most are committed but some aren't,
RM566,23,18-25,No,Travel_Rarely,310,Research & Development,10,1,Medical,1,784,1,Male,79,4,1,Research Scientist,3,Single,3505,Upto 5k,19630,1,Y,No,18,3,4,80,0,2,3,3,2,2,0,2,,No,5,10,"We struggle with collaboration, but it can be chaotic at times",Very comfortable workspace,Highly supported for remote work,Doubtful we'll meet all objectives,Somewhat disconnected from the team,"Average collaboration, depends on the project",Most are committed but some aren't,
RM911,23,18-25,No,Travel_Rarely,373,Research & Development,1,2,Life Sciences,1,1270,4,Male,47,3,1,Research Scientist,3,Married,1223,Upto 5k,16901,1,Y,No,22,4,4,80,1,1,2,3,1,0,0,1,,No,5,7,,"Average comfort, ergonomic issues","Seldom supported, very rigid",Pessimistic about goal achievement,"Not part of the team, very isolated","Terrible at collaborating, needs overhaul","No commitment to quality, very frustrating",
RM1083,23,18-25,No,Travel_Rarely,507,Research & Development,20,1,Life Sciences,1,1533,1,Male,97,3,2,Laboratory Technician,3,Single,2272,Upto 5k,24812,0,Y,No,14,3,2,80,0,5,2,3,4,3,1,2,"I feel somewhat unsatisfied, as the work-life balance could be better",No,5,1,"There is room for improvement in collaboration, but it can be chaotic at times",Uncomfortable seating arrangements,"Moderate support, but could improve",Mixed feelings about goal attainability,Often feel left out of the team,Good collaboration but can improve,Most are committed but some aren't,
RM1128,23,18-25,No,Travel_Rarely,977,Research & Development,10,3,Technical Degree,1,1592,4,Male,45,4,1,Research Scientist,3,Married,2073,Upto 5k,12826,2,Y,No,16,3,4,80,1,4,2,3,2,2,2,2,,No,6,10,,"Average comfort, ergonomic issues",Support varies by department,Uncertain about some goals,Often feel left out of the team,We collaborate efficiently,Most are committed but some aren't,
RM1239,23,18-25,No,Travel_Rarely,160,Research & Development,4,1,Medical,1,1735,3,Female,51,3,1,Laboratory Technician,2,Single,3295,Upto 5k,12862,1,Y,No,13,3,3,80,0,3,3,1,3,2,1,2,,Yes,8,8,"We struggle with collaboration, but it can be chaotic at times",Uncomfortable seating arrangements,"Seldom supported, very rigid",Mixed feelings about goal attainability,Often feel left out of the team,Good collaboration but can improve,Lack of commitment is concerning,
RM1409,23,18-25,No,Travel_Rarely,571,Research & Development,12,2,Other,1,1982,4,Male,78,3,1,Laboratory Technician,4,Single,2647,Upto 5k,13672,1,Y,No,13,3,3,80,0,5,6,4,5,2,1,4,,Yes,8,4,,Uncomfortable seating arrangements,Highly supported for remote work,Uncertain about some goals,Somewhat disconnected from the team,"Terrible at collaborating, needs overhaul",Everyone is committed to quality,
RM021,24,18-25,No,Non-Travel,673,Research & Development,11,2,Other,1,26,1,Female,96,4,2,Manufacturing Director,3,Divorced,4011,Upto 5k,8232,0,Y,No,18,3,4,80,1,5,5,2,4,2,1,3,,No,7,3,"There is room for improvement in collaboration, due to lack of proper tools",Very comfortable workspace,"Moderate support, but could improve",Uncertain about some goals,Feel integral to the team,Good collaboration but can improve,Lack of commitment is concerning,
RM097,24,18-25,No,Travel_Rarely,1353,Sales,3,2,Other,1,128,1,Female,33,3,2,Sales Executive,3,Married,4999,Upto 5k,17519,0,Y,No,21,4,1,80,1,4,2,2,3,2,0,2,"I am very pleased, due to the challenging projects",Yes,5,2,"Collaboration here is effective, due to lack of proper tools","Average comfort, ergonomic issues",Highly supported for remote work,Confident in reaching objectives,Often feel left out of the team,"Average collaboration, depends on the project",Everyone is committed to quality,
RM114,24,18-25,No,Travel_Rarely,1127,Research & Development,18,1,Life Sciences,1,150,2,Male,52,3,1,Laboratory Technician,3,Married,2774,Upto 5k,13257,0,Y,No,12,3,3,80,1,6,2,3,5,3,1,2,,Yes,3,1,"There is room for improvement in collaboration, due to lack of proper tools","Highly uncomfortable, needs total revamp","Not supported, no flexibility",Uncertain about some goals,Part of a team but not integral,"Average collaboration, depends on the project",Most are committed but some aren't,
RM381,24,18-25,No,Travel_Rarely,1371,Sales,10,4,Marketing,1,507,4,Female,77,3,2,Sales Executive,3,Divorced,4260,Upto 5k,5915,1,Y,Yes,12,3,4,80,1,5,2,4,5,2,0,3,"I am very pleased, as the work-life balance could be better",No,2,5,"Collaboration here is effective, due to lack of proper tools","Average comfort, ergonomic issues","Not supported, no flexibility",Uncertain about some goals,Often feel left out of the team,Good collaboration but can improve,Lack of commitment is concerning,
RM471,24,18-25,No,Travel_Frequently,535,Sales,24,3,Medical,1,632,4,Male,38,3,1,Sales Representative,4,Married,2400,Upto 5k,5530,0,Y,No,13,3,3,80,2,3,3,3,2,2,2,1,"I feel somewhat unsatisfied, as the work-life balance could be better",No,7,5,"Collaboration here is effective, which makes work enjoyable",Uncomfortable seating arrangements,"Moderate support, but could improve",Confident in reaching objectives,Somewhat disconnected from the team,Good collaboration but can improve,Everyone is committed to quality,
RM475,24,18-25,No,Travel_Rarely,691,Research & Development,23,3,Medical,1,639,2,Male,89,4,1,Research Scientist,4,Married,2725,Upto 5k,21630,1,Y,Yes,11,3,2,80,2,6,3,3,6,5,1,4,"I am very pleased, due to the challenging projects",No,3,5,,Generally comfortable but improvements needed,"Seldom supported, very rigid",Uncertain about some goals,Often feel left out of the team,"Poor collaboration, often misaligned",Everyone is committed to quality,
RM477,24,18-25,No,Travel_Rarely,823,Research & Development,17,2,Other,1,643,4,Male,94,2,1,Laboratory Technician,2,Married,2127,Upto 5k,9100,1,Y,No,21,4,4,80,1,1,2,3,1,0,0,0,,No,2,4,,"Average comfort, ergonomic issues","Moderate support, but could improve",Doubtful we'll meet all objectives,Part of a team but not integral,"Terrible at collaborating, needs overhaul",Commitment is frequently questionable,
RM587,24,18-25,No,Non-Travel,1092,Research & Development,9,3,Life Sciences,1,812,3,Male,60,2,1,Laboratory Technician,2,Divorced,2694,Upto 5k,26551,1,Y,No,11,3,3,80,3,1,4,3,1,0,0,0,,Yes,7,2,,Generally comfortable but improvements needed,Highly supported for remote work,Mixed feelings about goal attainability,Often feel left out of the team,"Terrible at collaborating, needs overhaul",Everyone is committed to quality,
RM641,24,18-25,No,Non-Travel,1269,Research & Development,4,1,Life Sciences,1,888,1,Male,46,2,1,Laboratory Technician,4,Married,3162,Upto 5k,10778,0,Y,No,17,3,4,80,0,6,2,2,5,2,3,4,,Yes,1,5,,Very comfortable workspace,"Seldom supported, very rigid",Pessimistic about goal achievement,Often feel left out of the team,Good collaboration but can improve,Commitment is frequently questionable,
RM725,24,18-25,No,Travel_Rarely,1206,Research & Development,17,1,Medical,1,1009,4,Female,41,2,2,Manufacturing Director,3,Divorced,4377,Upto 5k,24117,1,Y,No,15,3,2,80,2,5,6,3,4,2,3,2,,No,8,4,,Generally comfortable but improvements needed,"Seldom supported, very rigid",Pessimistic about goal achievement,Feel integral to the team,Good collaboration but can improve,Most are committed but some aren't,
RM842,24,18-25,No,Travel_Rarely,477,Research & Development,24,3,Medical,1,1173,4,Male,49,3,1,Laboratory Technician,2,Single,3597,Upto 5k,6409,8,Y,No,22,4,4,80,0,6,2,3,4,3,1,2,,Yes,10,6,,Very comfortable workspace,"Moderate support, but could improve",Confident in reaching objectives,"Not part of the team, very isolated","Average collaboration, depends on the project",Commitment is frequently questionable,
RM1026,24,18-25,No,Travel_Rarely,1476,Sales,4,1,Medical,1,1445,4,Female,42,3,2,Sales Executive,3,Married,4162,Upto 5k,15211,1,Y,Yes,12,3,3,80,2,5,3,3,5,4,0,3,,No,6,2,"There is room for improvement in collaboration, which makes work enjoyable",Generally comfortable but improvements needed,Highly supported for remote work,Doubtful we'll meet all objectives,Part of a team but not integral,Good collaboration but can improve,Everyone is committed to quality,
RM1062,24,18-25,No,Non-Travel,830,Sales,13,2,Life Sciences,1,1495,4,Female,78,3,1,Sales Representative,2,Married,2033,Upto 5k,7103,1,Y,No,13,3,3,80,1,1,2,3,1,0,0,0,,Yes,5,6,,Uncomfortable seating arrangements,Highly supported for remote work,Confident in reaching objectives,Feel integral to the team,We collaborate efficiently,Lack of commitment is concerning,
RM1098,24,18-25,No,Travel_Rarely,350,Research & Development,21,2,Technical Degree,1,1551,3,Male,57,2,1,Laboratory Technician,1,Divorced,2296,Upto 5k,10036,0,Y,No,14,3,2,80,3,2,3,3,1,1,0,0,,Yes,10,3,"We struggle with collaboration, which makes work enjoyable",Uncomfortable seating arrangements,Support varies by department,Confident in reaching objectives,Part of a team but not integral,"Terrible at collaborating, needs overhaul",Most are committed but some aren't,
RM1169,24,18-25,No,Travel_Frequently,567,Research & Development,2,1,Technical Degree,1,1646,1,Female,32,3,1,Research Scientist,4,Single,3760,Upto 5k,17218,1,Y,Yes,13,3,3,80,0,6,2,3,6,3,1,3,,Yes,6,5,,Uncomfortable seating arrangements,"Moderate support, but could improve",Confident in reaching objectives,"Not part of the team, very isolated","Terrible at collaborating, needs overhaul",Lack of commitment is concerning,
RM1218,24,18-25,No,Travel_Rarely,581,Research & Development,9,3,Medical,1,1707,3,Male,62,4,1,Research Scientist,3,Married,4401,Upto 5k,17616,1,Y,No,16,3,4,80,1,5,1,3,5,3,0,4,,Yes,2,3,,Very comfortable workspace,"Not supported, no flexibility",Mixed feelings about goal attainability,Part of a team but not integral,"Terrible at collaborating, needs overhaul",Commitment is frequently questionable,
RM1231,24,18-25,No,Travel_Rarely,506,Research & Development,29,1,Medical,1,1725,2,Male,91,3,1,Laboratory Technician,1,Divorced,3907,Upto 5k,3622,1,Y,No,13,3,2,80,3,6,2,4,6,2,1,2,"I am very pleased, as the work-life balance could be better",Yes,8,3,,Very comfortable workspace,"Seldom supported, very rigid",Doubtful we'll meet all objectives,"Not part of the team, very isolated","Poor collaboration, often misaligned","No commitment to quality, very frustrating",
RM1246,24,18-25,No,Travel_Frequently,897,Human Resources,10,3,Medical,1,1746,1,Male,59,3,1,Human Resources,4,Married,2145,Upto 5k,2097,0,Y,No,14,3,4,80,1,3,2,3,2,2,2,1,,No,8,1,,"Highly uncomfortable, needs total revamp",Highly supported for remote work,Doubtful we'll meet all objectives,"Not part of the team, very isolated","Terrible at collaborating, needs overhaul","No commitment to quality, very frustrating",
RM1408,24,18-25,No,Travel_Rarely,771,Research & Development,1,2,Life Sciences,1,1981,2,Male,45,2,2,Healthcare Representative,3,Single,4617,Upto 5k,14120,1,Y,No,12,3,2,80,0,4,2,2,4,3,1,2,,No,1,7,,Generally comfortable but improvements needed,Highly supported for remote work,Uncertain about some goals,Often feel left out of the team,"Average collaboration, depends on the project","No commitment to quality, very frustrating",
RM109,25,18-25,No,Travel_Rarely,1280,Research & Development,7,1,Medical,1,143,4,Male,64,2,1,Research Scientist,4,Married,2889,Upto 5k,26897,1,Y,No,11,3,3,80,2,2,2,3,2,2,2,1,"I am generally satisfied, because of the supportive team",No,8,5,,Very comfortable workspace,"Seldom supported, very rigid",Confident in reaching objectives,Often feel left out of the team,Good collaboration but can improve,Commitment is frequently questionable,
RM139,25,18-25,No,Travel_Rarely,959,Sales,28,3,Life Sciences,1,183,1,Male,41,2,2,Sales Executive,3,Married,8639,5k-10k,24835,2,Y,No,18,3,4,80,0,6,3,3,2,2,2,,,No,2,6,,Very comfortable workspace,"Moderate support, but could improve",Confident in reaching objectives,Somewhat disconnected from the team,Good collaboration but can improve,"No commitment to quality, very frustrating",
RM297,18,18-25,Yes,Travel_Rarely,230,Research & Development,3,3,Life Sciences,1,405,3,Male,54,3,1,Laboratory Technician,3,Single,1420,Upto 5k,25233,1,Y,No,13,3,3,80,0,0,2,3,0,0,0,0,,Yes,10,10,,"Average comfort, ergonomic issues","Moderate support, but could improve",Doubtful we'll meet all objectives,Somewhat disconnected from the team,"Average collaboration, depends on the project","No commitment to quality, very frustrating","Honestly, my boss can be so out of touch sometimes. It's like, get with the times, you know?"
